Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Detailing Lucas,,+1-714-926-7908,,,Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.tiktok.com/@detailing.lucas?_r=1&_t=ZP-93Pbi0RwyNz,,Car Detailers
GC Mobile Auto Detailing,,+1-714-860-5774,,"Rose, Anaheim, CA 92805, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/gcautodetail,,Car Detailers
JJ’s Auto Detail,,+1-657-262-0246,,,Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/JJsAutoDetail92/services,,Car Detailers
Js auto detailing O.C. Co,,+1-714-356-8993,,"2614 Alona St, Santa Ana, CA 92706, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/jsauto_detailingoc/,,Car Detailers
"Mikes Mobile Detailing AUTO,RVs, Boats, Motorcycles",,+1-714-728-4447,,"1455 W Roberta Ave, Fullerton, CA 92833, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/mikes.mobile.detailing?igshid=pin9i66tgm3f,,Car Detailers
OC Shine Mobile Detailing,,+1-714-342-1342,,"128 N Woodridge Cir, Orange, CA 92868, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://premium-mobile-detailingoc.square.site/,,Car Detailers
Paint Doctor Auto Detailing,,+1-714-609-1330,,,Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://thepaintdocs.square.site/,,Car Detailers
Refresh Mobile Auto Spa,,+1-951-479-6687,,"1235 W Town and Country Rd, Orange, CA 92868, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://refresh-mobile-auto-spa.square.site/,,Car Detailers
157 Mobile Detailing,,+1-562-287-2460,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | https://157-mobile-detailing.square.site/s/appointments,,Car Detailers
A&R Luxe Auto Detailing,,+1-714-476-5656,,,Buena Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/ar.luxeautodetail/,,Car Detailers
Elite auto spa Professional Detail,,+1-714-759-1342,,,Buena Park,CA,P1 | Class A | only a Facebook/booking/directory page | http://www.instagram.com/eliteautospa714,,Car Detailers
Exodus Shine,,+1-714-341-3131,,,Buena Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/exodus.shine?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Detailers
FJ Auto Detailing,,+1-949-400-8805,,,Buena Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://fj-detailing.square.site/,,Car Detailers
Mobile Auto Detailing by NeoSphere,,+1-714-631-6897,,"11461 Anegada St, Cypress, CA 90630, United States",Buena Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://neosphere-100652.square.site/,,Car Detailers
Eddie’s Mobile Detail,,+1-562-685-2642,,,Carson,CA,P1 | Class A | only a Facebook/booking/directory page | https://app.squareup.com/appointments/book/fbdn6mru76r4jw/L6FKY3TK5BGBH/start,,Car Detailers
OC Finish Mobile Detailing,,+1-714-926-4879,,,Corona,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/OCFinish,,Car Detailers
Clean Start Mobile Detailing,,+1-714-797-2875,,,Costa Mesa,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/cleanstartmobiledetailing?igsh=MzRlODBiNWFlZA==,,Car Detailers
JT 3000 Professional Car Care,,+1-657-218-4236,,"1930 Harbor Blvd, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/officialjt3000?utm_medium=copy_link,,Car Detailers
Kula Ceramic Coating & Detailing,,+1-949-400-6679,,"1926 Placentia Ave #7, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/kulaceramiccoating/,,Car Detailers
Lezama Brother's Mobile Auto Detail,,+1-714-204-6273,,"17705 Crabb Ln, Huntington Beach, CA 92647, United States",Costa Mesa,CA,P1 | Class A | only a Facebook/booking/directory page | https://lezama-brosautodetail.square.site/,,Car Detailers
ShyneAutoCare,,+1-949-561-2779,,"1015 American Pl, Costa Mesa, CA 92627, United States",Costa Mesa,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/sshyneautocare?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Surf City Shines Mobile Detailing,,+1-714-376-6411,,,Costa Mesa,CA,P1 | Class A | only a Facebook/booking/directory page | https://surfcityshines.square.site/,,Car Detailers
Vasst Mobile Detail,,+1-949-233-5793,,,Costa Mesa,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/vasst_mobile_detail?utm_source=linktree_profile_share&ltsid=6405d5c4-f085-4c2a-8707-e7ea3fb345ce,,Car Detailers
Engineer's Touch Mobile Detailing,,+1-951-833-5351,,,Fullerton,CA,P1 | Class A | only a Facebook/booking/directory page | https://calendly.com/engineerstouchdetailing/full-deep-clean,,Car Detailers
Methodical Mobile,,+1-951-775-0086,,,Fullerton,CA,P1 | Class A | only a Facebook/booking/directory page | http://methodical-mobile.square.site/,,Car Detailers
P2 Auto Studio | Ceramic Coating & PPF - Orange County,,+1-657-571-1525,,"2021 W Commonwealth Ave Unit k, Fullerton, CA 92833, United States",Fullerton,CA,P1 | Class A | only a Facebook/booking/directory page | http://instagram.com/p2autostudio,,Car Detailers
Shine pro car detailing &polishing,,+1-657-675-3540,,,Fullerton,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/daniels.detailings,,Car Detailers
