Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
All In Mobile Detail,,+1-760-583-7217,,,Carlsbad,CA,P4 | Class B | website has issues | https://allinmobiledetail.com/,,Car Detailers
Autoluxx Car Detailing,,+1-760-983-7644,,"1206 Camino Lorado, San Marcos, CA 92078, United States",Carlsbad,CA,P4 | Class B | website has issues | https://autoluxxcardetailing.shop/,,Car Detailers
Ben & Jared's CAD,,+1-442-232-9631,,,Carlsbad,CA,P4 | Class B | website has issues | http://benandjaredscad.com/,,Car Detailers
Carlsbad Auto Restoration Detailing Service,,+1-760-239-7871,,"5857 Owens Ave #300, Carlsbad, CA 92008, United States",Carlsbad,CA,P4 | Class B | website has issues | https://carlsbadautodetailing.com/,,Car Detailers
Coastal Glow Car Detailing,,+1-206-963-2311,,"847 Laguna Dr, Carlsbad, CA 92008, United States",Carlsbad,CA,P4 | Class B | website has issues | http://coastalglowcardetailing.shop/,,Car Detailers
Dunphys Mobile Detailing & Ceramic Coating La Costa Ca,,+1-760-607-8259,,"3498 Corte Fortuna, Carlsbad, CA 92009, United States",Carlsbad,CA,P4 | Class B | website has issues | https://dunphysmobiledetailing.com/,,Car Detailers
Fierce Mobile Detailing,,+1-760-712-5983,,,Carlsbad,CA,P4 | Class B | website has issues | http://fiercemobiledetailing.com/,,Car Detailers
LAVAR Mobile Detailing,,+1-760-277-4979,,"4847 Tacayme Dr, Oceanside, CA 92057, United States",Carlsbad,CA,P4 | Class B | website has issues | https://www.lavarmobiledetail.com/,,Car Detailers
Louie’s Mobile Detailing,,+1-760-580-2509,,"2017 Oceanside Blvd Suite 115, Oceanside, CA 92054, United States",Carlsbad,CA,P4 | Class B | website has issues | http://www.louiesmobiledetailing.com/,,Car Detailers
Mach 1 Auto Detail and Tint,,+1-760-309-3737,,"3145 Tiger Run Ct Ste. 107, Carlsbad, CA 92010, United States",Carlsbad,CA,P4 | Class B | website has issues | http://mach1autodetail.com/,,Car Detailers
North County Mobile Detail,,+1-760-514-7254,,"1334 E Indian Rock Rd, Vista, CA 92084, United States",Carlsbad,CA,P4 | Class B | website has issues | http://northcountymobiledetail.com/,,Car Detailers
Ocampo Mobile Detail,,+1-760-622-6734,,"4700 N River Rd, Oceanside, CA 92057, United States",Carlsbad,CA,P4 | Class B | website has issues | http://ocampomobiledetail.com/,,Car Detailers
Ozone mobile detailing,,+1-442-273-6903,,,Carlsbad,CA,P4 | Class B | website has issues | https://pocketsuite.io/book/anthony-h-orange,,Car Detailers
PDT Detail Products,,+1-442-224-7788,,"2470 S Santa Fe Ave, Vista, CA 92084, United States",Carlsbad,CA,P4 | Class B | website has issues | https://pdt-detail-products.myshopify.com/,,Car Detailers
PWR Detail,,+1-760-889-1498,,"1495 Poinsettia Ave #147, Vista, CA 92081, United States",Carlsbad,CA,P4 | Class B | website has issues | http://www.pwrdetail.com/,,Car Detailers
Quick Gloss Mobile Car Detailing Oceanside,,+1-760-635-5343,,"3520 Seagate Way, Oceanside, CA 92056, United States",Carlsbad,CA,P4 | Class B | website has issues | https://quickglossmobilecardetailing.online/,,Car Detailers
